Run,Model,True_Label,Predicted_Label,Count
1,CNN Mel,Cendet,Cendet,15
1,CNN Mel,Cendet,Gereja,1
1,CNN Mel,Cendet,Kutilang,1
1,CNN Mel,Cendet,Perkutut,1
1,CNN Mel,Cendet,Tekukur,0
1,CNN Mel,Cendet,Trucukan,1
1,CNN Mel,Gereja,Cendet,0
1,CNN Mel,Gereja,Gereja,13
1,CNN Mel,Gereja,Kutilang,0
1,CNN Mel,Gereja,Perkutut,0
1,CNN Mel,Gereja,Tekukur,0
1,CNN Mel,Gereja,Trucukan,0
1,CNN Mel,Kutilang,Cendet,1
1,CNN Mel,Kutilang,Gereja,0
1,CNN Mel,Kutilang,Kutilang,28
1,CNN Mel,Kutilang,Perkutut,1
1,CNN Mel,Kutilang,Tekukur,0
1,CNN Mel,Kutilang,Trucukan,0
1,CNN Mel,Perkutut,Cendet,1
1,CNN Mel,Perkutut,Gereja,0
1,CNN Mel,Perkutut,Kutilang,1
1,CNN Mel,Perkutut,Perkutut,14
1,CNN Mel,Perkutut,Tekukur,0
1,CNN Mel,Perkutut,Trucukan,0
1,CNN Mel,Tekukur,Cendet,0
1,CNN Mel,Tekukur,Gereja,1
1,CNN Mel,Tekukur,Kutilang,0
1,CNN Mel,Tekukur,Perkutut,1
1,CNN Mel,Tekukur,Tekukur,13
1,CNN Mel,Tekukur,Trucukan,0
1,CNN Mel,Trucukan,Cendet,1
1,CNN Mel,Trucukan,Gereja,0
1,CNN Mel,Trucukan,Kutilang,2
1,CNN Mel,Trucukan,Perkutut,0
1,CNN Mel,Trucukan,Tekukur,0
1,CNN Mel,Trucukan,Trucukan,16
1,CNN MFCC,Cendet,Cendet,19
1,CNN MFCC,Cendet,Gereja,0
1,CNN MFCC,Cendet,Kutilang,0
1,CNN MFCC,Cendet,Perkutut,0
1,CNN MFCC,Cendet,Tekukur,0
1,CNN MFCC,Cendet,Trucukan,0
1,CNN MFCC,Gereja,Cendet,0
1,CNN MFCC,Gereja,Gereja,13
1,CNN MFCC,Gereja,Kutilang,0
1,CNN MFCC,Gereja,Perkutut,0
1,CNN MFCC,Gereja,Tekukur,0
1,CNN MFCC,Gereja,Trucukan,0
1,CNN MFCC,Kutilang,Cendet,0
1,CNN MFCC,Kutilang,Gereja,0
1,CNN MFCC,Kutilang,Kutilang,30
1,CNN MFCC,Kutilang,Perkutut,0
1,CNN MFCC,Kutilang,Tekukur,0
1,CNN MFCC,Kutilang,Trucukan,0
1,CNN MFCC,Perkutut,Cendet,0
1,CNN MFCC,Perkutut,Gereja,0
1,CNN MFCC,Perkutut,Kutilang,0
1,CNN MFCC,Perkutut,Perkutut,16
1,CNN MFCC,Perkutut,Tekukur,0
1,CNN MFCC,Perkutut,Trucukan,0
1,CNN MFCC,Tekukur,Cendet,0
1,CNN MFCC,Tekukur,Gereja,0
1,CNN MFCC,Tekukur,Kutilang,0
1,CNN MFCC,Tekukur,Perkutut,0
1,CNN MFCC,Tekukur,Tekukur,15
1,CNN MFCC,Tekukur,Trucukan,0
1,CNN MFCC,Trucukan,Cendet,0
1,CNN MFCC,Trucukan,Gereja,0
1,CNN MFCC,Trucukan,Kutilang,0
1,CNN MFCC,Trucukan,Perkutut,0
1,CNN MFCC,Trucukan,Tekukur,0
1,CNN MFCC,Trucukan,Trucukan,19
2,CNN Mel,Cendet,Cendet,19
2,CNN Mel,Cendet,Gereja,0
2,CNN Mel,Cendet,Kutilang,0
2,CNN Mel,Cendet,Perkutut,0
2,CNN Mel,Cendet,Tekukur,0
2,CNN Mel,Cendet,Trucukan,0
2,CNN Mel,Gereja,Cendet,2
2,CNN Mel,Gereja,Gereja,11
2,CNN Mel,Gereja,Kutilang,0
2,CNN Mel,Gereja,Perkutut,0
2,CNN Mel,Gereja,Tekukur,0
2,CNN Mel,Gereja,Trucukan,0
2,CNN Mel,Kutilang,Cendet,0
2,CNN Mel,Kutilang,Gereja,0
2,CNN Mel,Kutilang,Kutilang,29
2,CNN Mel,Kutilang,Perkutut,0
2,CNN Mel,Kutilang,Tekukur,0
2,CNN Mel,Kutilang,Trucukan,1
2,CNN Mel,Perkutut,Cendet,0
2,CNN Mel,Perkutut,Gereja,0
2,CNN Mel,Perkutut,Kutilang,3
2,CNN Mel,Perkutut,Perkutut,12
2,CNN Mel,Perkutut,Tekukur,0
2,CNN Mel,Perkutut,Trucukan,1
2,CNN Mel,Tekukur,Cendet,0
2,CNN Mel,Tekukur,Gereja,0
2,CNN Mel,Tekukur,Kutilang,0
2,CNN Mel,Tekukur,Perkutut,0
2,CNN Mel,Tekukur,Tekukur,14
2,CNN Mel,Tekukur,Trucukan,1
2,CNN Mel,Trucukan,Cendet,0
2,CNN Mel,Trucukan,Gereja,0
2,CNN Mel,Trucukan,Kutilang,0
2,CNN Mel,Trucukan,Perkutut,0
2,CNN Mel,Trucukan,Tekukur,0
2,CNN Mel,Trucukan,Trucukan,19
2,CNN MFCC,Cendet,Cendet,19
2,CNN MFCC,Cendet,Gereja,0
2,CNN MFCC,Cendet,Kutilang,0
2,CNN MFCC,Cendet,Perkutut,0
2,CNN MFCC,Cendet,Tekukur,0
2,CNN MFCC,Cendet,Trucukan,0
2,CNN MFCC,Gereja,Cendet,0
2,CNN MFCC,Gereja,Gereja,13
2,CNN MFCC,Gereja,Kutilang,0
2,CNN MFCC,Gereja,Perkutut,0
2,CNN MFCC,Gereja,Tekukur,0
2,CNN MFCC,Gereja,Trucukan,0
2,CNN MFCC,Kutilang,Cendet,0
2,CNN MFCC,Kutilang,Gereja,0
2,CNN MFCC,Kutilang,Kutilang,30
2,CNN MFCC,Kutilang,Perkutut,0
2,CNN MFCC,Kutilang,Tekukur,0
2,CNN MFCC,Kutilang,Trucukan,0
2,CNN MFCC,Perkutut,Cendet,0
2,CNN MFCC,Perkutut,Gereja,0
2,CNN MFCC,Perkutut,Kutilang,1
2,CNN MFCC,Perkutut,Perkutut,15
2,CNN MFCC,Perkutut,Tekukur,0
2,CNN MFCC,Perkutut,Trucukan,0
2,CNN MFCC,Tekukur,Cendet,0
2,CNN MFCC,Tekukur,Gereja,0
2,CNN MFCC,Tekukur,Kutilang,0
2,CNN MFCC,Tekukur,Perkutut,0
2,CNN MFCC,Tekukur,Tekukur,15
2,CNN MFCC,Tekukur,Trucukan,0
2,CNN MFCC,Trucukan,Cendet,0
2,CNN MFCC,Trucukan,Gereja,0
2,CNN MFCC,Trucukan,Kutilang,0
2,CNN MFCC,Trucukan,Perkutut,0
2,CNN MFCC,Trucukan,Tekukur,0
2,CNN MFCC,Trucukan,Trucukan,19
3,CNN Mel,Cendet,Cendet,18
3,CNN Mel,Cendet,Gereja,0
3,CNN Mel,Cendet,Kutilang,1
3,CNN Mel,Cendet,Perkutut,0
3,CNN Mel,Cendet,Tekukur,0
3,CNN Mel,Cendet,Trucukan,0
3,CNN Mel,Gereja,Cendet,1
3,CNN Mel,Gereja,Gereja,10
3,CNN Mel,Gereja,Kutilang,1
3,CNN Mel,Gereja,Perkutut,0
3,CNN Mel,Gereja,Tekukur,1
3,CNN Mel,Gereja,Trucukan,0
3,CNN Mel,Kutilang,Cendet,0
3,CNN Mel,Kutilang,Gereja,0
3,CNN Mel,Kutilang,Kutilang,29
3,CNN Mel,Kutilang,Perkutut,0
3,CNN Mel,Kutilang,Tekukur,0
3,CNN Mel,Kutilang,Trucukan,1
3,CNN Mel,Perkutut,Cendet,0
3,CNN Mel,Perkutut,Gereja,0
3,CNN Mel,Perkutut,Kutilang,1
3,CNN Mel,Perkutut,Perkutut,15
3,CNN Mel,Perkutut,Tekukur,0
3,CNN Mel,Perkutut,Trucukan,0
3,CNN Mel,Tekukur,Cendet,0
3,CNN Mel,Tekukur,Gereja,0
3,CNN Mel,Tekukur,Kutilang,0
3,CNN Mel,Tekukur,Perkutut,2
3,CNN Mel,Tekukur,Tekukur,13
3,CNN Mel,Tekukur,Trucukan,0
3,CNN Mel,Trucukan,Cendet,0
3,CNN Mel,Trucukan,Gereja,0
3,CNN Mel,Trucukan,Kutilang,0
3,CNN Mel,Trucukan,Perkutut,0
3,CNN Mel,Trucukan,Tekukur,0
3,CNN Mel,Trucukan,Trucukan,19
3,CNN MFCC,Cendet,Cendet,19
3,CNN MFCC,Cendet,Gereja,0
3,CNN MFCC,Cendet,Kutilang,0
3,CNN MFCC,Cendet,Perkutut,0
3,CNN MFCC,Cendet,Tekukur,0
3,CNN MFCC,Cendet,Trucukan,0
3,CNN MFCC,Gereja,Cendet,1
3,CNN MFCC,Gereja,Gereja,12
3,CNN MFCC,Gereja,Kutilang,0
3,CNN MFCC,Gereja,Perkutut,0
3,CNN MFCC,Gereja,Tekukur,0
3,CNN MFCC,Gereja,Trucukan,0
3,CNN MFCC,Kutilang,Cendet,0
3,CNN MFCC,Kutilang,Gereja,0
3,CNN MFCC,Kutilang,Kutilang,30
3,CNN MFCC,Kutilang,Perkutut,0
3,CNN MFCC,Kutilang,Tekukur,0
3,CNN MFCC,Kutilang,Trucukan,0
